Curvature,Luas,Kepadatan,Bin Tertinggi,Posisi Bin Tertinggi,Label
5.890323,869.632874,0.019780,21.811897,87.000000,Normal
4.271078,874.934082,0.029552,21.929527,93.000000,Normal
4.606990,841.194458,0.022945,20.647793,63.000000,Normal
4.574080,848.558228,0.029899,20.975842,60.000000,Normal
5.224455,887.125183,0.024895,21.639469,96.000000,Normal
4.939931,820.081421,0.026202,20.845501,90.000000,Normal
4.206284,856.177673,0.030864,20.434914,60.000000,Normal
4.165392,858.094604,0.034795,20.685581,87.000000,Normal
4.036594,875.453369,0.039481,20.886711,60.000000,Normal
4.154183,849.005066,0.034075,21.371037,84.000000,Normal
4.929839,826.670654,0.021682,21.620865,114.000000,Normal
5.471346,875.137329,0.023821,20.911860,96.000000,Normal
3.397649,882.828796,0.043454,21.502069,90.000000,Normal
5.243335,899.989746,0.022743,22.869688,87.000000,Normal
4.793484,845.316895,0.027464,21.774523,90.000000,Normal
4.200129,843.020630,0.035912,19.834545,108.000000,Normal
5.524425,836.296875,0.019577,21.091221,63.000000,Normal
3.970570,896.386353,0.031756,21.936327,90.000000,Normal
5.610244,800.518066,0.020218,20.106083,108.000000,Normal
4.768307,846.400940,0.024201,21.714449,87.000000,Normal
5.843791,825.367310,0.017969,20.876995,66.000000,Normal
4.719752,885.199890,0.026923,21.385077,96.000000,Normal
4.541025,895.323059,0.027674,22.262165,66.000000,Normal
4.726259,850.101562,0.025026,20.992153,60.000000,Normal
4.974965,887.305908,0.026650,21.534542,90.000000,Normal
4.428308,840.983887,0.024640,21.988636,90.000000,Normal
4.122633,852.401733,0.039327,21.007137,60.000000,Normal
5.291455,817.930298,0.020335,20.533678,63.000000,Normal
4.266811,829.931030,0.029746,20.061344,93.000000,Normal
4.660214,855.654053,0.027576,20.427118,84.000000,Normal
5.476317,819.868347,0.021564,21.212458,84.000000,Normal
4.843379,823.622009,0.027955,20.035585,27.000000,Normal
4.648128,834.972168,0.022169,22.319210,90.000000,Normal
5.176402,902.223755,0.026339,22.208147,108.000000,Normal
5.211447,889.573975,0.025340,22.126234,66.000000,Normal
4.173702,833.445374,0.034807,20.266344,87.000000,Normal
5.694125,800.712280,0.016857,21.093336,60.000000,Normal
4.843052,874.629883,0.029169,21.879612,36.000000,Normal
4.337856,846.376953,0.025956,20.879524,63.000000,Normal
5.100986,841.766479,0.023711,21.420540,27.000000,Normal
5.164498,845.319397,0.023708,21.533182,87.000000,Normal
5.099622,891.378418,0.029352,21.699802,33.000000,Normal
5.655115,866.703613,0.021028,21.795998,117.000000,Normal
5.731898,815.131348,0.020207,20.167330,84.000000,Normal
5.518842,828.166565,0.024454,21.060219,96.000000,Normal
4.874542,825.337341,0.023671,22.300625,108.000000,Normal
4.900119,784.850342,0.019890,21.175180,84.000000,Normal
4.085375,837.696167,0.033970,22.381294,87.000000,Normal
5.060720,821.740540,0.020204,22.222187,123.000000,Normal
5.331873,855.216003,0.020768,20.348488,63.000000,Normal
5.174538,851.736084,0.021794,20.657780,27.000000,Normal
4.880775,878.387817,0.026024,22.530830,66.000000,Normal
5.096498,853.250488,0.025701,20.827713,36.000000,Normal
4.528195,864.668335,0.030035,22.081238,87.000000,Normal
5.288148,856.665283,0.024744,20.482430,60.000000,Normal
4.620509,872.649536,0.032765,21.655191,66.000000,Normal
6.096263,771.086914,0.015770,20.576725,54.000000,Normal
4.163434,832.208557,0.025142,21.615026,93.000000,Normal
4.442129,907.894836,0.031319,22.099087,90.000000,Normal
5.597806,831.880432,0.019933,20.902105,123.000000,Normal
5.007102,844.131897,0.022834,22.054859,63.000000,Normal
5.173797,855.586304,0.025450,21.669468,123.000000,Normal
4.620688,850.881470,0.029323,21.071754,66.000000,Normal
4.523406,848.266785,0.028019,21.219437,87.000000,Normal
4.809842,844.200500,0.026435,20.829893,66.000000,Normal
4.787436,835.570312,0.021602,20.953798,63.000000,Normal
4.498424,873.002075,0.028850,22.720617,66.000000,Normal
4.678595,842.526550,0.027759,21.504179,90.000000,Normal
4.836306,811.591736,0.027921,19.808121,87.000000,Normal
4.396309,805.166260,0.027268,19.714226,60.000000,Normal
5.901300,790.343750,0.015937,20.484093,54.000000,Normal
4.454139,882.410400,0.030778,21.629665,87.000000,Normal
4.379650,875.937317,0.032629,20.295887,111.000000,Normal
5.245387,803.797607,0.019451,21.983562,111.000000,Normal
5.014673,887.634277,0.026831,21.743959,66.000000,Normal
4.420537,896.554565,0.033682,22.013424,123.000000,Normal
6.153546,895.805420,0.019468,22.150866,69.000000,Normal
4.952097,834.610718,0.023633,21.511627,87.000000,Normal
4.736789,820.836914,0.020453,22.254059,60.000000,Normal
4.704092,906.183899,0.033341,22.234333,39.000000,Normal
4.136228,829.350891,0.026326,21.533203,111.000000,Normal
4.300099,886.081726,0.027843,21.811472,63.000000,Normal
4.974874,881.688416,0.024422,21.749126,90.000000,Normal
4.946176,842.355713,0.022955,21.891178,63.000000,Normal
5.581588,691.888428,0.014253,20.222574,63.000000,Normal
